Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/09/19;32;7;2;7;3;4;0;0;1;2;0;0;0;0;6;0;0;;0;0;
2020/09/20;20;1;4;9;1;0;0;1;2;0;2;0;0;0;0;0;0;;0;0;
2020/09/21;88;11;18;19;12;6;1;2;2;4;0;1;1;0;11;0;0;;0;0;
2020/09/22;69;5;14;7;14;7;1;0;1;2;2;4;0;0;12;0;0;0;0;0;
2020/09/23;76;12;16;11;3;8;3;3;2;4;3;1;0;0;10;0;0;0;0;0;
2020/09/24;72;9;13;11;9;8;3;1;1;3;3;1;1;0;8;1;0;0;0;0;
2020/09/25;91;14;20;10;10;5;5;3;3;1;1;3;0;0;14;1;0;0;1;0;
2020/09/26;33;4;5;6;9;4;2;0;0;1;2;0;0;0;0;0;0;0;0;0;
2020/09/27;8;2;0;2;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;
2020/09/28;72;12;16;10;15;4;3;3;3;2;2;1;0;0;1;0;0;0;0;0;
2020/09/29;79;14;14;11;8;5;3;6;5;2;3;1;0;0;4;3;0;0;0;0;
2020/09/30;60;13;7;10;4;5;4;2;1;3;0;0;0;0;10;1;0;0;0;0;
2020/10/01;71;7;12;10;15;4;4;0;2;3;2;0;2;0;8;1;0;0;1;0;
2020/10/02;96;15;25;14;13;6;2;1;4;0;3;2;0;0;10;0;0;0;1;0;
2020/10/03;35;6;5;10;5;2;2;0;1;2;0;0;0;0;2;0;0;0;0;0;
2020/10/04;16;2;5;7;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;
2020/10/05;58;10;12;11;6;5;2;0;2;3;2;0;0;0;4;0;0;1;0;0;
2020/10/06;73;16;14;10;12;4;1;1;1;3;2;2;0;0;6;1;0;;0;0;
2020/10/07;60;15;12;13;5;5;1;0;3;0;1;2;1;0;1;0;0;;1;0;
2020/10/08;72;16;19;9;6;8;3;0;3;2;1;3;0;0;1;1;0;;0;0;
2020/10/09;115;19;19;15;15;11;5;2;3;4;7;2;2;0;7;3;0;;1;0;
2020/10/10;37;10;3;12;4;3;4;0;0;0;0;0;0;0;1;0;0;;0;0;
2020/10/11;17;4;4;5;2;0;0;0;0;0;0;0;1;0;1;0;0;;0;0;
2020/10/12;20;1;4;4;3;3;0;0;0;1;2;1;0;0;1;0;0;;0;0;
2020/10/13;68;13;7;16;12;5;2;2;1;3;0;2;0;0;4;1;0;;0;0;
2020/10/14;56;9;12;12;10;4;2;2;1;0;0;2;1;0;0;0;0;;1;0;
2020/10/15;86;12;11;14;16;7;7;2;3;1;3;0;0;1;7;1;0;;0;1;
2020/10/16;91;17;14;18;10;5;7;2;1;1;1;4;0;0;8;2;0;0;1;0;
2020/10/17;31;4;2;6;2;4;5;1;1;0;1;2;0;0;3;0;0;0;0;0;
2020/10/18;23;2;2;7;3;2;0;1;0;0;0;0;1;0;5;0;0;0;0;0;
2020/10/19;72;8;16;15;9;10;4;0;2;0;2;0;2;0;4;0;0;0;0;0;
2020/10/20;61;6;11;12;9;11;4;1;0;0;1;2;1;0;3;0;0;0;0;0;
